scanningDistance,errScanDist,normalizedCharge,errorCharge
203,0.88,-1.55862,0.462021
204,0.88,0.521659,0.462021
205,0.88,-5.1252,0.462021
206,0.88,-3.7904,0.462021
207,0.88,-0.604901,0.462021
208,0.88,-4.66083,0.462021
209,0.88,-3.07407,0.462021
210,0.88,-3.85756,0.462021
211,0.88,-5.45005,0.462021
212,0.88,-5.73793,0.462021
213,0.88,-6.04352,0.462021
214,0.88,-6.05133,0.462021
215,0.88,0.770503,0.462021
216,0.88,-5.43755,0.462021
217,0.88,-4.29329,0.462021
218,0.88,-5.90556,0.462021
219,0.88,-7.60738,0.462021
220,0.88,-7.78022,0.462021
221,0.88,-9.35501,0.462021
222,0.88,-12.2089,0.462021
223,0.88,-11.7289,0.462021
224,0.88,-12.3317,0.462021
225,0.88,-10.7408,0.462021
226,0.88,-12.4208,0.462021
227,0.88,-12.4171,0.462021
228,0.88,-12.2026,0.462021
229,0.88,-13.0694,0.462021
230,0.88,-9.70536,0.462021
231,0.88,-13.5452,0.462021
232,0.88,-13.7639,0.462021
233,0.88,-14.4755,0.462021
234,0.88,-11.0006,0.462021
235,0.88,-14.4063,0.462021
236,0.88,-15.7015,0.462021
237,0.88,-12.8216,0.462021
238,0.88,-15.2335,0.462021
239,0.88,-15.2773,0.462021
240,0.88,-15.9056,0.462021
241,0.88,-14.5031,0.462021
242,0.88,-16.8874,0.462021
243,0.88,-11.8356,0.462021
244,0.88,-13.2459,0.462021
245,0.88,-18.4961,0.462021
246,0.88,-15.9952,0.462021
247,0.88,-15.5209,0.462021
248,0.88,-15.4678,0.462021
249,0.88,-17.4393,0.462021
250,0.88,-14.6364,0.462021
251,0.88,-8.4752,0.462021
252,0.88,-13.968,0.462021
253,0.88,-12.5868,0.462021
254,0.88,-15.84,0.462021
255,0.88,-14.7754,0.462021
256,0.88,-13.9461,0.462021
257,0.88,-12.5894,0.462021
258,0.88,-11.655,0.462021
259,0.88,-16.5163,0.462021
260,0.88,-15.3663,0.462021
261,0.88,-11.3156,0.462021
262,0.88,-12.8456,0.462021
263,0.88,-12.2583,0.462021
264,0.88,-14.3131,0.462021
265,0.88,-18.6012,0.462021
266,0.88,-14.4677,0.462021
267,0.88,-14.1819,0.462021
268,0.88,-17.0343,0.462021
269,0.88,-15.3699,0.462021
270,0.88,-15.9374,0.462021
271,0.88,-13.1111,0.462021
272,0.88,-16.7984,0.462021
273,0.88,-13.4182,0.462021
274,0.88,-13.6369,0.462021
275,0.88,-16.574,0.462021
276,0.88,-15.2887,0.462021
277,0.88,-15.2689,0.462021
278,0.88,-19.2478,0.462021
279,0.88,-13.4536,0.462021
280,0.88,-14.5849,0.462021
281,0.88,-15.9233,0.462021
282,0.88,-17.6053,0.462021
283,0.88,-18.0161,0.462021
284,0.88,-14.1325,0.462021
285,0.88,-13.4042,0.462021
286,0.88,-16.5303,0.462021
287,0.88,-14.0612,0.462021
288,0.88,-15.4157,0.462021
289,0.88,-15.1143,0.462021
290,0.88,-18.3888,0.462021
291,0.88,-13.7118,0.462021
292,0.88,-10.3733,0.462021
293,0.88,-17.1274,0.462021
294,0.88,-17.3773,0.462021
295,0.88,-9.53825,0.462021
296,0.88,-17.1634,0.462021
297,0.88,-15.8223,0.462021
298,0.88,-13.5354,0.462021
299,0.88,-13.5078,0.462021
300,0.88,-14.2418,0.462021
301,0.88,-15.6141,0.462021
302,0.88,-15.89,0.462021
303,0.88,-15.1403,0.462021
304,0.88,-14.462,0.462021
305,0.88,-13.8586,0.462021
306,0.88,-13.0517,0.462021
307,0.88,-10.2332,0.462021
308,0.88,-13.123,0.462021
309,0.88,-9.2993,0.462021
310,0.88,-9.61478,0.462021
311,0.88,-8.96612,0.462021
312,0.88,-3.42234,0.462021
313,0.88,-12.0824,0.462021
314,0.88,-4.4047,0.462021
315,0.88,-8.40545,0.462021
316,0.88,-5.335,0.462021
317,0.88,-1.84443,0.462021
318,0.88,-4.93102,0.462021
319,0.88,-4.00645,0.462021
320,0.88,-3.22712,0.462021
321,0.88,-3.58373,0.462021
322,0.88,-3.89348,0.462021
323,0.88,-6.97746,0.462021
324,0.88,-1.58674,0.462021
325,0.88,-6.60472,0.462021
326,0.88,-3.50668,0.462021
327,0.88,-3.06418,0.462021
328,0.88,-1.42015,0.462021
329,0.88,-2.38584,0.462021
330,0.88,-5.54375,0.462021
331,0.88,-3.63162,0.462021
332,0.88,-0.828755,0.462021
333,0.88,-1.47377,0.462021
334,0.88,-1.783,0.462021
335,0.88,-4.09599,0.462021
336,0.88,-1.3405,0.462021
337,0.88,-3.34217,0.462021
338,0.88,-1.9397,0.462021
339,0.88,-2.32025,0.462021
340,0.88,-1.82881,0.462021
341,0.88,-4.58378,0.462021
342,0.88,-2.34836,0.462021
343,0.88,-1.02762,0.462021
344,0.88,1.23018,0.462021
345,0.88,2.93408,0.462021
346,0.88,-0.458094,0.462021
347,0.88,-2.02507,0.462021
348,0.88,-3.53271,0.462021
349,0.88,-3.72272,0.462021
350,0.88,-1.67003,0.462021
351,0.88,-1.89805,0.462021
352,0.88,-1.56487,0.462021
353,0.88,0.851194,0.462021
354,0.88,-0.0712946,0.462021
355,0.88,-0.501824,0.462021
356,0.88,-0.93808,0.462021
357,0.88,-2.08859,0.462021
358,0.88,-2.8424,0.462021
359,0.88,0.934489,0.462021
360,0.88,-2.25518,0.462021
361,0.88,-2.24737,0.462021
362,0.88,-2.14221,0.462021
363,0.88,-4.80764,0.462021
364,0.88,-0.874568,0.462021
365,0.88,-3.62954,0.462021
366,0.88,-4.15117,0.462021
367,0.88,-0.725678,0.462021
368,0.88,-3.78207,0.462021
369,0.88,-3.81018,0.462021
