scanningDistance,errScanDist,normalizedCharge,errorCharge
188,0.88,15.8881,0.408629
189,0.88,20.3973,0.410653
190,0.88,21.9718,0.408629
191,0.88,24.9834,0.408629
192,0.88,27.2239,0.410653
193,0.88,30.2564,0.408629
194,0.88,31.4513,0.408629
195,0.88,34.6743,0.408629
196,0.88,36.4951,0.408629
197,0.88,39.6755,0.408629
198,0.88,40.5362,0.408629
199,0.88,43.5274,0.408629
200,0.88,44.0165,0.408629
201,0.88,47.3593,0.408629
202,0.88,48.6484,0.408629
203,0.88,48.9157,0.408629
204,0.88,53.3936,0.408629
205,0.88,55.0405,0.408629
206,0.88,55.4021,0.408629
207,0.88,56.8174,0.408629
208,0.88,59.0392,0.408629
209,0.88,59.0302,0.408629
210,0.88,62.5238,0.408629
211,0.88,61.8583,0.408629
212,0.88,63.297,0.408629
213,0.88,64.179,0.408629
214,0.88,64.8841,0.408629
215,0.88,65.6105,0.408629
216,0.88,68.5371,0.408629
217,0.88,70.3357,0.408629
218,0.88,74.0142,0.408629
219,0.88,76.7901,0.410653
220,0.88,82.1406,0.408629
221,0.88,90.7252,0.408629
222,0.88,96.875,0.408629
223,0.88,107.971,0.408629
224,0.88,119.331,0.408629
225,0.88,131.713,0.410653
226,0.88,144.196,0.408629
227,0.88,154.606,0.408629
228,0.88,168.37,0.408629
229,0.88,178.37,0.410653
230,0.88,187.396,0.408629
231,0.88,196.108,0.410653
232,0.88,201.913,0.408629
233,0.88,208.622,0.408629
234,0.88,211.734,0.410653
235,0.88,214.098,0.410653
236,0.88,218.679,0.410653
237,0.88,218.71,0.408629
238,0.88,223.151,0.410653
239,0.88,222.988,0.408629
240,0.88,222.793,0.410653
241,0.88,225.64,0.410653
242,0.88,227.269,0.410653
243,0.88,228.237,0.410653
244,0.88,231.4,0.408629
245,0.88,233.522,0.410653
246,0.88,232.046,0.410653
247,0.88,233.474,0.408629
248,0.88,234.436,0.410653
249,0.88,236.641,0.410653
250,0.88,236.975,0.410653
251,0.88,235.911,0.410653
252,0.88,237.569,0.408629
253,0.88,238.567,0.410653
254,0.88,237.416,0.410653
255,0.88,237.311,0.408629
256,0.88,238.542,0.410653
257,0.88,239.671,0.410653
258,0.88,238.782,0.410653
259,0.88,239.792,0.410653
260,0.88,240.003,0.410653
261,0.88,241.011,0.410653
262,0.88,241.612,0.410653
263,0.88,242.231,0.410653
264,0.88,240.258,0.410653
265,0.88,241.323,0.410653
266,0.88,241.541,0.410653
267,0.88,241.881,0.410653
268,0.88,240.688,0.410653
269,0.88,241.297,0.408629
270,0.88,241.392,0.408629
271,0.88,242.115,0.410653
272,0.88,240.6,0.410653
273,0.88,241.232,0.410653
274,0.88,242.353,0.410653
275,0.88,242.357,0.410653
276,0.88,241.329,0.410653
277,0.88,241.92,0.408629
278,0.88,240.502,0.410653
279,0.88,240.793,0.408629
280,0.88,242.003,0.410653
281,0.88,242.528,0.410653
282,0.88,242.418,0.410653
283,0.88,241.974,0.410653
284,0.88,241.993,0.410653
285,0.88,241.204,0.410653
286,0.88,240.454,0.410653
287,0.88,242.673,0.410653
288,0.88,239.302,0.410653
289,0.88,240.805,0.410653
290,0.88,239.618,0.410653
291,0.88,239.859,0.408629
292,0.88,240.813,0.408629
293,0.88,238.921,0.410653
294,0.88,239.665,0.410653
295,0.88,239.313,0.408629
296,0.88,237.847,0.410653
297,0.88,237.373,0.410653
298,0.88,237.614,0.410653
299,0.88,237.402,0.410653
300,0.88,235.816,0.408629
301,0.88,236.253,0.410653
302,0.88,234.45,0.410653
303,0.88,233.595,0.410653
304,0.88,231.046,0.410653
305,0.88,231.015,0.410653
306,0.88,231.213,0.408629
307,0.88,230.182,0.410653
308,0.88,228.546,0.408629
309,0.88,226.804,0.408629
310,0.88,222.697,0.410653
311,0.88,221.246,0.410653
312,0.88,215.316,0.410653
313,0.88,210.163,0.410653
314,0.88,200.028,0.410653
315,0.88,191.472,0.408629
316,0.88,178.424,0.408629
317,0.88,162.994,0.408629
318,0.88,147.013,0.408629
319,0.88,130.985,0.408629
320,0.88,113.81,0.408629
321,0.88,98.303,0.408629
322,0.88,82.9962,0.408629
323,0.88,66.0257,0.408629
324,0.88,51.4185,0.408629
325,0.88,43.8303,0.408629
326,0.88,34.5316,0.408629
327,0.88,27.4292,0.408629
328,0.88,23.2839,0.408629
329,0.88,21.3923,0.408629
330,0.88,21.4475,0.408629
331,0.88,20.7883,0.408629
332,0.88,20.6327,0.408629
333,0.88,18.5888,0.408629
334,0.88,16.5807,0.408629
335,0.88,15.8307,0.408629
336,0.88,11.2633,0.408629
337,0.88,11.2582,0.408629
338,0.88,12.0414,0.408629
339,0.88,8.81034,0.408629
340,0.88,8.43876,0.408629
341,0.88,7.91508,0.408629
342,0.88,7.99323,0.408629
343,0.88,7.90281,0.408629
344,0.88,8.22957,0.408629
345,0.88,8.34866,0.408629
346,0.88,6.89037,0.408629
347,0.88,6.94239,0.408629
348,0.88,6.38965,0.408629
349,0.88,4.68464,0.408629
350,0.88,5.54601,0.408629
351,0.88,7.20225,0.408629
352,0.88,5.65322,0.408629
353,0.88,4.42605,0.408629
354,0.88,5.92345,0.408629
355,0.88,4.46738,0.408629
356,0.88,4.49937,0.408629
357,0.88,4.58329,0.408629
358,0.88,4.58298,0.410653
359,0.88,4.0319,0.408629
360,0.88,2.43703,0.408629
361,0.88,4.07933,0.408629
362,0.88,4.94846,0.408629
363,0.88,4.64949,0.408629
364,0.88,3.35422,0.408629
365,0.88,2.56387,0.408629
366,0.88,2.87639,0.408629
367,0.88,2.87932,0.408629
368,0.88,4.45803,0.408629
369,0.88,2.9429,0.408629
